Feature,Linear Coefficient SD,Ridge Coefficient SD,Lasso Coefficient SD,Lasso Folds Selected,Lasso Selection Frequency (%),Elastic Net Coefficient SD,Elastic Net Folds Selected,Elastic Net Selection Frequency (%),Elastic Net Stability Improvement from Linear
Kilometer,0.0313983091548202,0.0311305090942176,0.0310826159591195,5,100.0,0.02765031209645321,5,100.0,0.0037479970583669878
Length,0.0207172213929512,0.0195473974119851,0.0200460618370926,5,100.0,0.017197967828525656,5,100.0,0.0035192535644255445
Width,0.0114066025298452,0.0110023877009522,0.0113266415729992,5,100.0,0.00990211347240828,5,100.0,0.001504489057436921
Height,0.0125507325482509,0.0128022062142662,0.0117427577522988,5,100.0,0.009941923712126021,5,100.0,0.0026088088361248783
Seating Capacity,0.0143448849470803,0.0149652383939317,0.0145972161532469,5,100.0,0.013119812018765388,5,100.0,0.0012250729283149117
Fuel Tank Capacity,0.0094369525158171,0.0089361659897078,0.0090629732924212,5,100.0,0.007013907434635762,5,100.0,0.0024230450811813372
Vehicle_Age,0.0062219644758963,0.0056473264441135,0.0053401335784788,5,100.0,0.004683771643830775,5,100.0,0.0015381928320655248
Engine_CC,0.0147950540932294,0.0133689723835507,0.0134659824861031,5,100.0,0.010918762905506432,5,100.0,0.003876291187722968
Power_BHP,0.0248017234822852,0.0231260282214728,0.0231286574979672,5,100.0,0.01924671486836847,5,100.0,0.00555500861391673
Power_RPM,0.0302070457815544,0.0287706356215646,0.0280497569782156,5,100.0,0.022284046216937067,5,100.0,0.007922999564617332
Torque_NM,0.0157085082529382,0.0147690730421087,0.0143674559481484,5,100.0,0.011593633027640864,5,100.0,0.004114875225297337
Torque_RPM_Clean,0.0083819923996327,0.0083001693806502,0.0080626991553421,5,100.0,0.006818082292195199,5,100.0,0.0015639101074375007
missingindicator_Length,0.0032742870991742,0.0030285502853637,0.009350088059488,4,80.0,0.0063551216925528675,2,40.0,-0.0030808345933786676
missingindicator_Width,0.0032742870991742,0.0030285502853637,5.099288317603251e-15,2,40.0,1.884654564623974e-06,2,40.0,0.003272402444609576
missingindicator_Height,0.0032742870991742,0.0030285502853637,1.5901150725178126e-16,2,40.0,2.819158983904675e-10,2,40.0,0.0032742868172583018
missingindicator_Seating Capacity,0.0032742870991742,0.0030285502853637,1.0390199085214096e-17,2,40.0,2.84884181755439e-14,2,40.0,0.0032742870991457115
missingindicator_Fuel Tank Capacity,0.0078543787009284,0.0082443369790472,0.0075398549110513,5,100.0,0.006248665381488076,5,100.0,0.0016057133194403248
missingindicator_Engine_CC,0.0128288011564972,0.0127026826169985,0.0160593823669377,4,80.0,0.012789445238997518,5,100.0,3.935591749968173e-05
missingindicator_Power_BHP,0.0128288011564972,0.0127026826169985,3.4804800302716645e-14,4,80.0,3.604754624550159e-06,5,100.0,0.01282519640187265
missingindicator_Power_RPM,0.053241020326009,0.0528646770188186,0.051785709388854,4,80.0,0.04299686634843332,5,100.0,0.010244153977575679
missingindicator_Torque_NM,0.0128288011564972,0.0127026826169985,0.0366541345418861,4,80.0,0.030585419194157068,4,80.0,-0.01775661803765987
missingindicator_Torque_RPM_Clean,0.0128288011564972,0.0127026826169985,3.5821132665822374e-14,4,80.0,8.863717142779026e-06,4,80.0,0.012819937439354421
Make_BMW,0.0178563586134283,0.015301704587039,0.0170730182249396,5,100.0,0.016883046367805816,5,100.0,0.0009733122456224846
Make_Chevrolet,0.1080744625693804,0.1674682145285627,0.15202327716558,5,100.0,0.1790292051186365,5,100.0,-0.07095474254925609
Make_Datsun,0.0525867593384238,0.0514416470786742,0.0558862811748258,5,100.0,0.05413359949255329,5,100.0,-0.0015468401541294877
Make_Ford,0.0326131766508756,0.0289610495735506,0.0326602503311869,5,100.0,0.028815038849919452,5,100.0,0.003798137800956145
Make_Honda,0.0289733881205343,0.0295344072770679,0.0313875850776156,5,100.0,0.029338644304723847,5,100.0,-0.00036525618418954686
Make_Hyundai,0.0213966738517821,0.0160191667512677,0.0216436830429789,5,100.0,0.021304533842754554,5,100.0,9.214000902754704e-05
Make_Jaguar,0.1007892242158172,0.0967861939617203,0.1005094366089144,5,100.0,0.09125924590907326,5,100.0,0.00952997830674393
Make_Jeep,0.0353559255587089,0.0269684871496973,0.0306733432893426,5,100.0,0.02635371998866882,5,100.0,0.00900220557004008
Make_Kia,0.0438802139097882,0.0359651302284149,0.0400906325816012,5,100.0,0.035433712788291244,5,100.0,0.008446501121496953
Make_Land Rover,0.0365271619714408,0.0285598478781648,0.0338169655810217,5,100.0,0.029812822341850388,5,100.0,0.006714339629590411
Make_MG,0.0205776114707197,0.0247621416884526,0.0191252516231642,5,100.0,0.018301054276822347,5,100.0,0.0022765571938973515
Make_MINI,0.2178689984270258,0.2165693285644755,0.2280574272970167,4,80.0,0.20331055763201003,4,80.0,0.014558440795015781
Make_Mahindra,0.0410225483554665,0.0342904722567749,0.0413238656326292,5,100.0,0.03889960466450554,5,100.0,0.002122943690960964
Make_Maruti Suzuki,0.0327251925316862,0.0292955573699051,0.034225069773135,5,100.0,0.032504379115298854,5,100.0,0.00022081341638734847
Make_Mercedes-Benz,0.0252008718151342,0.0236194423948252,0.025070300640498,5,100.0,0.023620560247362376,5,100.0,0.0015803115677718235
Make_Nissan,0.0178785578300975,0.0256574892692365,0.0230116313458364,5,100.0,0.025132876889848516,5,100.0,-0.007254319059751015
Make_Porsche,0.2131996565134681,0.2032595914604618,0.2171721007202892,5,100.0,0.19592710403958755,5,100.0,0.017272552473880542
Make_Renault,0.0261974674664327,0.0214461559253929,0.0283791128124391,5,100.0,0.029445626710135044,5,100.0,-0.0032481592437023435
Make_Skoda,0.0328309605008507,0.032927240168704,0.0339836959684314,5,100.0,0.031057012456689216,5,100.0,0.0017739480441614844
Make_Tata,0.0164752462578836,0.0149420446104371,0.0151839552731775,5,100.0,0.014416522795584622,5,100.0,0.002058723462298977
Make_Toyota,0.0124958315831734,0.0075485431432967,0.0106661855969616,5,100.0,0.011083181114769356,5,100.0,0.0014126504684040444
Make_Volkswagen,0.0312229799179719,0.0281325498192398,0.0324392381228013,5,100.0,0.030870606048318337,5,100.0,0.000352373869653564
Make_Volvo,0.0653378625397453,0.0541712727565014,0.0347406784157169,3,60.0,0.017545530281998425,2,40.0,0.04779233225774687
Make_infrequent_sklearn,0.0867188318401456,0.0845024941210645,0.0758441734834732,5,100.0,0.05745893875954774,5,100.0,0.029259893080597864
Model_5-Series 520d Luxury Line [2017-2019],0.0528777373013768,0.0232414856157788,0.0237458057318582,5,100.0,0.019390970166650555,5,100.0,0.033486767134726245
Model_A6 2.0 TDI Premium,0.078518587787683,0.0278770266842339,0.0296187711692464,5,100.0,0.025440061215438944,5,100.0,0.05307852657224406
Model_A6 35 TDI Matrix,0.0470335398084285,0.0201405605811273,0.0165702475528199,4,80.0,0.0015651531289826858,2,40.0,0.04546838667944581
Model_Alto 800 Lxi,0.0611193363689133,0.0273116472079054,0.0202541942825718,3,60.0,0.010575854066470217,3,60.0,0.050543482302443085
Model_Alto VXi,0.0721687306948571,0.0102882340875448,0.0039152215973133,1,20.0,0.0,0,0.0,0.0721687306948571
