Alpha,L1 Ratio,Mean Train Log RMSE,Mean Validation Log RMSE,Validation RMSE Standard Deviation,Rank
0.0002,0.95,0.22666782615660072,0.2712905005893849,0.026351337195881546,1
0.0002,0.9,0.22656160402633,0.271358280343219,0.026357717416427194,2
0.0002,0.75,0.22626169097539955,0.27161371759991065,0.026357542400865543,3
0.0001,0.95,0.22544491543268225,0.2719169845069236,0.026597098757669645,4
0.0001,0.9,0.22540939933717477,0.2720035663379237,0.026597310661596957,5
0.0002,0.5,0.22582842787907195,0.27211730350822266,0.026383720014531677,6
0.0001,0.75,0.2253069853479613,0.2722604010400966,0.026598387864463093,7
0.0005,0.5,0.2290570050184501,0.2728253432458116,0.025486911342695442,8
0.0001,0.5,0.22516584359782085,0.2728360276104163,0.026531274225467597,9
0.0002,0.25,0.2254739322542605,0.27293893187748985,0.026339187691829722,10
5e-05,0.95,0.2250478883593027,0.2729433154692844,0.02656425581871629,11
5e-05,0.9,0.22503790208412405,0.2730407766703883,0.026544833318157456,12
0.0005,0.25,0.22749624837121094,0.2730667048294707,0.025690393207390708,13
5e-05,0.75,0.22500750772031317,0.27331536937636625,0.026506981399954308,14
0.0005,0.75,0.23094526878798116,0.2737396998587618,0.02491666802363553,15
0.0005,0.1,0.2267771835533634,0.27380019356445817,0.02574125166160074,16
0.0001,0.25,0.22504848136195915,0.2738506065017629,0.026310482956968487,17
0.0002,0.1,0.2253034200923305,0.27397320023068233,0.026104994661124915,18
5e-05,0.5,0.22495589578753683,0.27400214052342164,0.026328570312070972,19
0.0005,0.05,0.2265879731702997,0.2744038795230932,0.025618901032264094,20
0.0005,0.9,0.23215539175795374,0.2744606797564464,0.024661783089002687,21
0.0005,0.95,0.23256833718236986,0.274686139745116,0.02453352693385969,22
0.0002,0.05,0.22525497725153967,0.27473091349070117,0.025812210224147446,23
0.001,0.1,0.22985117667043023,0.2750173699387771,0.024998005015787878,24
0.001,0.25,0.23196136496699254,0.27515637466645504,0.02468333097433223,25
0.001,0.05,0.22929086210373942,0.2753402502005343,0.02504744221564594,26
