Alpha,L1 Ratio,Mean Train Log RMSE,Mean Validation Log RMSE,Validation RMSE Standard Deviation,Rank
0.0002,1.0,0.2267771223396749,0.2712305261221724,0.026342330092102004,1
0.0002,0.99,0.2267549088890431,0.27124210053740794,0.026343920776897733,2
0.0002,0.975,0.22672195068556356,0.2712596569110616,0.02634636885442632,3
0.0002,0.95,0.22666782615660072,0.2712905005893849,0.026351337195881546,4
0.0002,0.925,0.22661451948929293,0.2713224622736864,0.026356086587633058,5
0.0002,0.9,0.22656160402633,0.271358280343219,0.026357717416427194,6
0.00025,0.95,0.22747498438098016,0.27138215857860554,0.02618385928427837,7
0.00025,0.975,0.22755247906542433,0.27138696762294734,0.026160052407722095,8
0.00025,0.925,0.2273982227049427,0.27138724106076195,0.026201779250956205,9
0.00025,0.99,0.2275991300339994,0.27139376740228666,0.02614345684957442,10
0.00025,0.9,0.22732253646484457,0.2713950066025149,0.026213740290855485,11
0.00025,1.0,0.22763040149040092,0.27139836034176595,0.02613251712012931,12
0.00015,1.0,0.22605517687811597,0.27140170834030036,0.026455814906983163,13
0.00015,0.99,0.22604159726943465,0.27141515617367373,0.02645910791033556,14
0.00015,0.975,0.2260213931496088,0.2714351586350322,0.02646413410755839,15
0.00015,0.95,0.22598797968344772,0.27146537675470067,0.026471554131443066,16
0.00015,0.925,0.22595509108105652,0.2714968990016019,0.0264807947203506,17
0.00015,0.9,0.2259224847374158,0.2715323386737237,0.02648845185848599,18
0.0003,0.9,0.2281699631765858,0.27173883765220586,0.025919465088766434,19
0.0003,0.925,0.22827019649548247,0.2717591219697549,0.025890021081287424,20
0.0003,0.95,0.22837044489624128,0.27178373318986276,0.02585899771041288,21
0.0003,0.975,0.22847202562757346,0.2718148180071901,0.0258251439278713,22
0.0001,1.0,0.2254801943883225,0.2718332450021296,0.02659915936482263,23
0.0003,0.99,0.22853369185677447,0.27183811258167323,0.02580325701995198,24
0.0001,0.99,0.22547305904798942,0.2718491197431808,0.026598822224866918,25
0.0003,1.0,0.22857522721396242,0.27185540276172393,0.02578862551616378,26
0.0001,0.975,0.22546249395323747,0.2718738474176791,0.02659805492360998,27
0.0001,0.95,0.22544491543268225,0.2719169845069236,0.026597098757669645,28
0.0001,0.925,0.22542768410500616,0.2719607932307825,0.026596163385435533,29
0.0001,0.9,0.22540939933717477,0.2720035663379237,0.026597310661596957,30
0.0004,0.9,0.23006521588112877,0.27295957129533666,0.025207606369176818,31
0.0004,0.925,0.23021920440619384,0.27306001286303533,0.025163710764642598,32
0.0004,0.95,0.23037465553947234,0.27315962312807096,0.02512251069836682,33
0.0004,0.975,0.23053059835120876,0.27325412262246457,0.02508499032151335,34
0.0004,0.99,0.230624359016246,0.2733094886462661,0.02506038240601624,35
0.0004,1.0,0.23068721708037532,0.2733483023462835,0.02504339000311597,36
