Feature,Elastic Net Coefficient,Absolute Elastic Net Coefficient,Selected
Make_Datsun,-0.835585053727496,0.835585053727496,True
Make_Chevrolet,-0.7158489596297911,0.7158489596297911,True
Make_Tata,-0.7012623227258669,0.7012623227258669,True
Make_Renault,-0.6875784811279345,0.6875784811279345,True
Make_Nissan,-0.6638410171064842,0.6638410171064842,True
Make_MG,-0.5704370580644785,0.5704370580644785,True
Owner_infrequent_sklearn,-0.542977803437107,0.542977803437107,True
Make_Mahindra,-0.5305104117739223,0.5305104117739223,True
Make_Volkswagen,-0.5215528121318892,0.5215528121318892,True
Make_Maruti Suzuki,-0.5185274226963005,0.5185274226963005,True
Make_Honda,-0.5037402507588397,0.5037402507588397,True
Make_MINI,0.4945450141678461,0.4945450141678461,True
Make_Ford,-0.4695951136348308,0.4695951136348308,True
Make_Land Rover,0.45645149213453556,0.45645149213453556,True
Make_Hyundai,-0.45639432207863145,0.45639432207863145,True
Make_Skoda,-0.4477354687867771,0.4477354687867771,True
Make_Porsche,0.42318597858475404,0.42318597858475404,True
Vehicle_Age,-0.38693066010530164,0.38693066010530164,True
Make_Kia,-0.3798481020299698,0.3798481020299698,True
Make_Jeep,-0.3719238690110973,0.3719238690110973,True
Power_BHP,0.3237931404401396,0.3237931404401396,True
Make_Toyota,-0.2530333825242612,0.2530333825242612,True
Fuel Type_infrequent_sklearn,0.24977826676192327,0.24977826676192327,True
Make_Jaguar,0.2323933089226029,0.2323933089226029,True
Model_Fortuner 2.8 4x4 AT [2016-2020],0.21785909011484594,0.21785909011484594,True
Length,0.2169196480563174,0.2169196480563174,True
Location_Coimbatore,0.20087646335702886,0.20087646335702886,True
Location_Chennai,0.19391006594234417,0.19391006594234417,True
Model_i20 Magna 1.2,-0.18869571910605956,0.18869571910605956,True
Transmission_Manual,-0.18394139215267657,0.18394139215267657,True
Model_Verna Fluidic 1.6 CRDi SX,-0.17704190876266068,0.17704190876266068,True
Location_Bangalore,0.17622896450086414,0.17622896450086414,True
Location_Kolkata,-0.16107888853734534,0.16107888853734534,True
Model_Fortuner 3.0 4x4 MT,0.1521588528748629,0.1521588528748629,True
Model_Fortuner 2.8 4x2 AT [2016-2020],0.15133728898283005,0.15133728898283005,True
Location_Ambala Cantt,-0.14694181407732446,0.14694181407732446,True
Make_Mercedes-Benz,0.12803735100728933,0.12803735100728933,True
Model_Scorpio S10,0.12632727468946967,0.12632727468946967,True
Location_Hyderabad,0.12425994276525376,0.12425994276525376,True
Torque_NM,-0.11142291924654012,0.11142291924654012,True
Model_GLC 220 d Progressive,0.10983494455442233,0.10983494455442233,True
Model_A6 2.0 TDI Premium,-0.10874939190709867,0.10874939190709867,True
Location_Ranchi,-0.10827659175026466,0.10827659175026466,True
Location_Pune,0.10580470447289142,0.10580470447289142,True
Location_Kanpur,-0.10105051231807309,0.10105051231807309,True
Model_Innova 2.8 ZX AT 7 STR [2016-2020],-0.09689742335476374,0.09689742335476374,True
Model_X1 sDrive20d xLine,-0.09377932382473672,0.09377932382473672,True
Model_Verna 1.6 CRDI SX,-0.09352377116010939,0.09352377116010939,True
Model_City 1.5 V AT,-0.09234245718199556,0.09234245718199556,True
Location_Dehradun,0.08549405679350518,0.08549405679350518,True
Fuel Type_Petrol,-0.082598272971829,0.082598272971829,True
Height,0.08236865928437838,0.08236865928437838,True
Model_Swift DZire VXI,0.07665647371769789,0.07665647371769789,True
Model_Vitara Brezza ZDi,0.0703936090012075,0.0703936090012075,True
Location_Udupi,0.0685429814571163,0.0685429814571163,True
Model_Wagon R LXi,0.06551852278514896,0.06551852278514896,True
Model_i10 Magna 1.2 Kappa2,0.06512373290292421,0.06512373290292421,True
Owner_Third,-0.06491631303153443,0.06491631303153443,True
Model_Swift VXi,0.06271841018310724,0.06271841018310724,True
Location_Faridabad,-0.06246771590918851,0.06246771590918851,True
Owner_UnRegistered Car,0.060688064302890476,0.060688064302890476,True
Location_Nashik,-0.05807756828392486,0.05807756828392486,True
Model_infrequent_sklearn,-0.05781811383385772,0.05781811383385772,True
Model_E-Class E 220d Exclusive [2019-2019],0.05701752436154646,0.05701752436154646,True
Location_Indore,0.056010713305669174,0.056010713305669174,True
Make_BMW,0.055541568968893,0.055541568968893,True
Seller Type_Corporate,0.05314810375305386,0.05314810375305386,True
Model_5-Series 520d Luxury Line [2017-2019],0.052586696462100624,0.052586696462100624,True
Location_Jamshedpur,-0.05219644968525272,0.05219644968525272,True
Torque_RPM_Clean,-0.05012406865993323,0.05012406865993323,True
Drivetrain_Missing,-0.049212341599111066,0.049212341599111066,True
Fuel Type_Diesel,0.04602707602697244,0.04602707602697244,True
Model_Swift VDi,0.04526133052345453,0.04526133052345453,True
Owner_Second,-0.0450194074847347,0.0450194074847347,True
Color_Silver,-0.042836259359904844,0.042836259359904844,True
Seating Capacity,-0.042100934176559024,0.042100934176559024,True
Location_Mumbai,0.03795862551384328,0.03795862551384328,True
Location_Gurgaon,-0.03698399982975901,0.03698399982975901,True
Location_infrequent_sklearn,-0.03652843875097644,0.03652843875097644,True
Make_infrequent_sklearn,-0.03644911622579649,0.03644911622579649,True
Location_Mangalore,0.03594763019169754,0.03594763019169754,True
Location_Varanasi,-0.03466952693736815,0.03466952693736815,True
Color_infrequent_sklearn,0.03208755811795097,0.03208755811795097,True
Model_Q3 35 TDI Premium + Sunroof,-0.03067886164155947,0.03067886164155947,True
Kilometer,-0.029402261455337086,0.029402261455337086,True
Model_Creta 1.6 SX Plus AT Petrol,0.025977286472814137,0.025977286472814137,True
Location_Zirakpur,-0.025013235764143826,0.025013235764143826,True
Fuel Tank Capacity,0.023340119310389186,0.023340119310389186,True
Color_Bronze,-0.02274913949680512,0.02274913949680512,True
Location_Jaipur,0.02263734659001248,0.02263734659001248,True
Width,0.022192538667885724,0.022192538667885724,True
Drivetrain_RWD,-0.021018909290869147,0.021018909290869147,True
Location_Surat,-0.01801530029845348,0.01801530029845348,True
Location_Mohali,-0.017216406440541558,0.017216406440541558,True
Location_Chandigarh,-0.016408552869399448,0.016408552869399448,True
Model_Grand i10 Magna 1.2 Kappa VTVT [2013-2016],-0.01621850957439645,0.01621850957439645,True
Location_Navi Mumbai,0.015534139788523341,0.015534139788523341,True
Engine_CC,0.01415356951063133,0.01415356951063133,True
Location_Patna,0.014074259565605391,0.014074259565605391,True
Color_Blue,0.012301213287716474,0.012301213287716474,True
Model_Kwid 1.0 RXT [2016-2019],-0.011539345534091128,0.011539345534091128,True
Location_Ludhiana,0.011391608171921119,0.011391608171921119,True
Location_Guwahati,0.010086082756424235,0.010086082756424235,True
missingindicator_Engine_CC,0.009456050628174664,0.009456050628174664,True
Model_City 1.5 S MT,-0.00808011002860084,0.00808011002860084,True
Color_Gold,0.007909169506723955,0.007909169506723955,True
missingindicator_Power_RPM,0.007482836243635421,0.007482836243635421,True
Color_White,0.007389801396276274,0.007389801396276274,True
Drivetrain_FWD,-0.006549090344739118,0.006549090344739118,True
Color_Orange,0.005852743308695441,0.005852743308695441,True
Color_Grey,0.004970111093472616,0.004970111093472616,True
Location_Ahmedabad,-0.004969166376963356,0.004969166376963356,True
missingindicator_Length,-0.0046589769138041135,0.0046589769138041135,True
Location_Bhopal,0.004256714034439518,0.004256714034439518,True
missingindicator_Fuel Tank Capacity,0.002271691551190578,0.002271691551190578,True
Location_Karnal,0.0009590716344678589,0.0009590716344678589,True
Color_Yellow,-0.000948999967983975,0.000948999967983975,True
Make_Volvo,0.0009403334074700219,0.0009403334074700219,True
Color_Red,0.0007994881478239158,0.0007994881478239158,True
Color_Black,-0.0007338262443016813,0.0007338262443016813,True
missingindicator_Power_BHP,3.0640578239995285e-06,3.0640578239995285e-06,True
missingindicator_Width,-1.1506439435481272e-06,1.1506439435481272e-06,True
missingindicator_Height,-1.3765943877513711e-10,1.3765943877513711e-10,True
missingindicator_Seating Capacity,-1.0847133632422227e-14,1.0847133632422227e-14,True
Color_Maroon,-0.0,0.0,False
Color_Green,0.0,0.0,False
Color_Others,-0.0,0.0,False
Color_Brown,0.0,0.0,False
Power_RPM,0.0,0.0,False
missingindicator_Torque_NM,0.0,0.0,False
Seller Type_Individual,-0.0,0.0,False
