Alpha,Mean Train Log RMSE,Mean Validation Log RMSE,Validation RMSE Standard Deviation,Rank
1e-05,0.22484904123449295,0.2767463583388635,0.025361904996427955,4
5e-05,0.22505910065502555,0.2728603393681587,0.026579134933255952,2
0.0001,0.2254801943883225,0.2718332450021296,0.02659915936482263,1
0.0005,0.23299081213379402,0.27493183050268455,0.024377695266765583,3
0.001,0.24511663604636902,0.2814119213262831,0.021832743615060816,5
0.002,0.26562828787104115,0.2924393191911512,0.02077967042161648,6
0.005,0.2932320735354016,0.3068471561801115,0.020394368800252083,7
0.01,0.3093908763807693,0.31755633143190104,0.019160635231944136,8
0.05,0.3356475300879919,0.33667182691320086,0.013590732833217852,9
0.1,0.38036462787746245,0.3815068855072329,0.013672894092181016,10
0.5,0.7581875827851714,0.7591811384320479,0.011159821866772751,11
1.0,0.9830586993554113,0.9834104805710124,0.009671918400683571,12
