Feature,Linear Coefficient SD,Ridge Coefficient SD,Lasso Coefficient SD,Lasso Folds Selected,Lasso Selection Frequency (%)
Kilometer,0.03139830915482026,0.03113050909421763,0.03108261595911953,5,100.0
Length,0.020717221392951218,0.019547397411985103,0.020046061837092698,5,100.0
Width,0.01140660252984527,0.011002387700952292,0.011326641572999216,5,100.0
Height,0.012550732548250999,0.012802206214266296,0.011742757752298813,5,100.0
Seating Capacity,0.014344884947080387,0.014965238393931758,0.014597216153246915,5,100.0
Fuel Tank Capacity,0.0094369525158171,0.008936165989707848,0.009062973292421275,5,100.0
Vehicle_Age,0.006221964475896345,0.005647326444113553,0.005340133578478809,5,100.0
Engine_CC,0.014795054093229428,0.013368972383550747,0.013465982486103105,5,100.0
Power_BHP,0.024801723482285213,0.023126028221472812,0.023128657497967272,5,100.0
Power_RPM,0.030207045781554445,0.028770635621564636,0.028049756978215698,5,100.0
Torque_NM,0.015708508252938236,0.014769073042108725,0.014367455948148436,5,100.0
Torque_RPM_Clean,0.008381992399632766,0.008300169380650261,0.00806269915534218,5,100.0
missingindicator_Length,0.0032742870991742763,0.0030285502853637306,0.009350088059488074,4,80.0
missingindicator_Width,0.0032742870991742763,0.0030285502853637306,5.099288317603251e-15,2,40.0
missingindicator_Height,0.0032742870991742763,0.0030285502853637306,1.5901150725178129e-16,2,40.0
missingindicator_Seating Capacity,0.0032742870991742763,0.0030285502853637306,1.0390199085214096e-17,2,40.0
missingindicator_Fuel Tank Capacity,0.007854378700928406,0.008244336979047204,0.007539854911051364,5,100.0
missingindicator_Engine_CC,0.012828801156497217,0.012702682616998561,0.0160593823669377,4,80.0
missingindicator_Power_BHP,0.012828801156497217,0.012702682616998561,3.4804800302716645e-14,4,80.0
missingindicator_Power_RPM,0.05324102032600907,0.052864677018818605,0.05178570938885403,4,80.0
missingindicator_Torque_NM,0.012828801156497217,0.012702682616998561,0.03665413454188616,4,80.0
missingindicator_Torque_RPM_Clean,0.012828801156497217,0.012702682616998561,3.582113266582237e-14,4,80.0
Make_BMW,0.017856358613428346,0.01530170458703904,0.017073018224939698,5,100.0
