Feature,Lasso Coefficient,Absolute Lasso Coefficient,Selected
Kilometer,-0.028900376698868913,0.028900376698868913,True
Length,0.22181260328294092,0.22181260328294092,True
Width,0.021187165238168427,0.021187165238168427,True
Height,0.08975791704577965,0.08975791704577965,True
Seating Capacity,-0.04380077854957486,0.04380077854957486,True
Fuel Tank Capacity,0.017232688184281576,0.017232688184281576,True
Vehicle_Age,-0.38647291149889285,0.38647291149889285,True
Engine_CC,0.018403586624362873,0.018403586624362873,True
Power_BHP,0.3274467198094483,0.3274467198094483,True
Power_RPM,0.0005864559762018179,0.0005864559762018179,True
Torque_NM,-0.12697339383447864,0.12697339383447864,True
Torque_RPM_Clean,-0.04903200963357242,0.04903200963357242,True
missingindicator_Length,-0.0029410212557504567,0.0029410212557504567,True
missingindicator_Width,-1.6269502779336036e-14,1.6269502779336036e-14,True
missingindicator_Height,-0.0,0.0,False
missingindicator_Seating Capacity,-0.0,0.0,False
missingindicator_Fuel Tank Capacity,-0.0,0.0,False
missingindicator_Engine_CC,0.014051212974757076,0.014051212974757076,True
missingindicator_Power_BHP,5.551115123125784e-17,5.551115123125784e-17,True
missingindicator_Power_RPM,0.0,0.0,False
missingindicator_Torque_NM,0.0013999999999996994,0.0013999999999996994,True
missingindicator_Torque_RPM_Clean,6.157794371554832e-17,6.157794371554832e-17,True
Make_BMW,0.039227845725421866,0.039227845725421866,True
Make_Chevrolet,-0.7975655689495654,0.7975655689495654,True
Make_Datsun,-0.9109030095586186,0.9109030095586186,True
Make_Ford,-0.5193884225233311,0.5193884225233311,True
Make_Honda,-0.5570108324959789,0.5570108324959789,True
Make_Hyundai,-0.5033360021751959,0.5033360021751959,True
Make_Jaguar,0.2228751287232932,0.2228751287232932,True
Make_Jeep,-0.4240087025589368,0.4240087025589368,True
Make_Kia,-0.44105384712285317,0.44105384712285317,True
Make_Land Rover,0.4410866618530116,0.4410866618530116,True
Make_MG,-0.6351396508924134,0.6351396508924134,True
Make_MINI,0.5013319841902493,0.5013319841902493,True
Make_Mahindra,-0.5823256496474177,0.5823256496474177,True
Make_Maruti Suzuki,-0.572876086185649,0.572876086185649,True
Make_Mercedes-Benz,0.10605847006559635,0.10605847006559635,True
Make_Nissan,-0.7337827202308376,0.7337827202308376,True
Make_Porsche,0.41729292648217314,0.41729292648217314,True
Make_Renault,-0.738938217979214,0.738938217979214,True
Make_Skoda,-0.49037286566903093,0.49037286566903093,True
Make_Tata,-0.75895247489773,0.75895247489773,True
Make_Toyota,-0.30960182630945016,0.30960182630945016,True
Make_Volkswagen,-0.5664951412912913,0.5664951412912913,True
Make_Volvo,0.0,0.0,False
Make_infrequent_sklearn,-0.08384066269837001,0.08384066269837001,True
Model_5-Series 520d Luxury Line [2017-2019],0.07506525849705574,0.07506525849705574,True
Model_A6 2.0 TDI Premium,-0.16360915169438955,0.16360915169438955,True
Model_A6 35 TDI Matrix,-0.019786938267978955,0.019786938267978955,True
Model_Alto 800 Lxi,-0.007418680855725568,0.007418680855725568,True
Model_Alto VXi,0.0,0.0,False
Model_Baleno Delta 1.2,-0.012102354882010193,0.012102354882010193,True
Model_Baleno Zeta 1.2,0.015346041339803655,0.015346041339803655,True
Model_Celerio VXi AMT,0.0,0.0,False
Model_City 1.5 S MT,-0.03712659150798131,0.03712659150798131,True
Model_City 1.5 V AT,-0.11909168198069642,0.11909168198069642,True
Model_City V,0.0,0.0,False
Model_Creta 1.6 SX Plus AT Petrol,0.05160630224485824,0.05160630224485824,True
Model_Creta SX 1.6 AT Petrol,0.0,0.0,False
Model_E-Class E 220d Exclusive [2019-2019],0.09604052051948758,0.09604052051948758,True
Model_Fortuner 2.8 4x2 AT [2016-2020],0.19562216771387672,0.19562216771387672,True
Model_Fortuner 2.8 4x4 AT [2016-2020],0.27573614104950345,0.27573614104950345,True
Model_Fortuner 3.0 4x2 AT,-0.004009255071643834,0.004009255071643834,True
Model_Fortuner 3.0 4x4 MT,0.1890588366606378,0.1890588366606378,True
Model_GLA 200 d Sport,0.0,0.0,False
Model_GLC 220 d Progressive,0.14229369296741615,0.14229369296741615,True
Model_GLE 250 d,-0.0,0.0,False
Model_GLE 300d 4MATIC LWB,0.0,0.0,False
Model_Grand i10 Asta 1.2 Kappa VTVT [2013-2016],0.0,0.0,False
Model_Grand i10 Magna 1.2 Kappa VTVT [2013-2016],-0.05081280051890921,0.05081280051890921,True
Model_Innova 2.8 ZX AT 7 STR [2016-2020],-0.12104075413195887,0.12104075413195887,True
Model_Kwid 1.0 RXT [2016-2019],-0.04432832168403965,0.04432832168403965,True
Model_Kwid RXT [2015-2019],0.0,0.0,False
Model_Q3 35 TDI Premium + Sunroof,-0.07998067291586063,0.07998067291586063,True
Model_Scorpio S10,0.15216656734432774,0.15216656734432774,True
Model_Swift DZire VDI,0.011005986938265253,0.011005986938265253,True
Model_Swift DZire VXI,0.09388756735784738,0.09388756735784738,True
Model_Swift VDi,0.07995363661059066,0.07995363661059066,True
Model_Swift VXi,0.0833431809059409,0.0833431809059409,True
Model_Swift VXi [2014-2017],-0.0,0.0,False
Model_V40 D3 R-Design,-0.0,0.0,False
Model_Verna 1.6 CRDI SX,-0.13388232738809125,0.13388232738809125,True
Model_Verna Fluidic 1.6 CRDi SX,-0.19374178924536825,0.19374178924536825,True
Model_Vitara Brezza VDi (O) [2016-2018],-0.0,0.0,False
Model_Vitara Brezza ZDi,0.1028798920224558,0.1028798920224558,True
Model_Wagon R LXI CNG (O),-0.0,0.0,False
Model_Wagon R LXi,0.09493086164109386,0.09493086164109386,True
Model_Wagon R VXI,-0.0,0.0,False
Model_X1 sDrive20d xLine,-0.11160430864829586,0.11160430864829586,True
Model_i10 Magna 1.2 Kappa2,0.084048334991306,0.084048334991306,True
Model_i20 Magna 1.2,-0.21891209581787602,0.21891209581787602,True
Model_infrequent_sklearn,-0.05673944686283111,0.05673944686283111,True
Fuel Type_Diesel,0.06332706706957217,0.06332706706957217,True
Fuel Type_Electric,0.07602167536407299,0.07602167536407299,True
Fuel Type_Petrol,-0.07166581861946317,0.07166581861946317,True
Fuel Type_infrequent_sklearn,0.28139058276118223,0.28139058276118223,True
Transmission_Manual,-0.1754138204559299,0.1754138204559299,True
Location_Ahmedabad,-0.006629718184002883,0.006629718184002883,True
Location_Ambala Cantt,-0.15283409209137144,0.15283409209137144,True
Location_Bangalore,0.1808554885029926,0.1808554885029926,True
Location_Bhopal,0.030556691477652928,0.030556691477652928,True
Location_Chandigarh,-0.023379112830526242,0.023379112830526242,True
Location_Chennai,0.19794147570058343,0.19794147570058343,True
Location_Coimbatore,0.20572806635792223,0.20572806635792223,True
Location_Dehradun,0.09799480238499415,0.09799480238499415,True
Location_Delhi,0.0022284190023362043,0.0022284190023362043,True
Location_Faridabad,-0.06559593358408108,0.06559593358408108,True
Location_Gurgaon,-0.04800864293197819,0.04800864293197819,True
Location_Guwahati,0.03542790443027607,0.03542790443027607,True
Location_Hyderabad,0.12685812404422508,0.12685812404422508,True
Location_Indore,0.09400544465402842,0.09400544465402842,True
Location_Jaipur,0.03340189375212585,0.03340189375212585,True
Location_Jalandhar,-0.0,0.0,False
Location_Jamshedpur,-0.06230369782872699,0.06230369782872699,True
Location_Kanpur,-0.09657539481396187,0.09657539481396187,True
Location_Karnal,0.03570707552780675,0.03570707552780675,True
Location_Kolkata,-0.1610638401433823,0.1610638401433823,True
Location_Lucknow,0.0,0.0,False
Location_Ludhiana,0.021574149313352692,0.021574149313352692,True
Location_Mangalore,0.07304819912076273,0.07304819912076273,True
Location_Meerut,0.00074981502941412,0.00074981502941412,True
Location_Mohali,-0.01519972326767068,0.01519972326767068,True
Location_Mumbai,0.040787206784208885,0.040787206784208885,True
Location_Nashik,-0.07443850788106154,0.07443850788106154,True
Location_Navi Mumbai,0.030951721029985665,0.030951721029985665,True
Location_Noida,0.0007426325911186599,0.0007426325911186599,True
Location_Patna,0.017478703215771885,0.017478703215771885,True
Location_Pune,0.11021215884387016,0.11021215884387016,True
Location_Raipur,0.0,0.0,False
Location_Ranchi,-0.11565917246606325,0.11565917246606325,True
Location_Surat,-0.04180297088550621,0.04180297088550621,True
Location_Thane,-0.006391295311179707,0.006391295311179707,True
Location_Udupi,0.0926536400585409,0.0926536400585409,True
Location_Varanasi,-0.047219374960888114,0.047219374960888114,True
Location_Zirakpur,-0.03627624582140905,0.03627624582140905,True
Location_infrequent_sklearn,-0.035557234728342664,0.035557234728342664,True
Color_Black,0.0,0.0,False
Color_Blue,0.012399455155271164,0.012399455155271164,True
Color_Bronze,-0.01973474883878793,0.01973474883878793,True
Color_Brown,0.005292681858549028,0.005292681858549028,True
Color_Gold,0.019001773520150048,0.019001773520150048,True
Color_Green,0.0010847424260465406,0.0010847424260465406,True
Color_Grey,0.012359753617428231,0.012359753617428231,True
Color_Maroon,-0.0,0.0,False
Color_Orange,0.03375179118198581,0.03375179118198581,True
Color_Others,-0.003179389359869411,0.003179389359869411,True
Color_Red,0.006464018796126311,0.006464018796126311,True
Color_Silver,-0.038141163725255854,0.038141163725255854,True
Color_White,0.010382742148458218,0.010382742148458218,True
Color_Yellow,-0.02611543401919648,0.02611543401919648,True
Color_infrequent_sklearn,0.06994934787513975,0.06994934787513975,True
Owner_Second,-0.04753275365468573,0.04753275365468573,True
Owner_Third,-0.06748618099476152,0.06748618099476152,True
Owner_UnRegistered Car,0.06582747264471579,0.06582747264471579,True
Owner_infrequent_sklearn,-0.5928026227714482,0.5928026227714482,True
Seller Type_Corporate,0.05445517407113591,0.05445517407113591,True
Seller Type_Individual,-0.0,0.0,False
Drivetrain_FWD,-0.002438057319749772,0.002438057319749772,True
Drivetrain_Missing,-0.04804160415766917,0.04804160415766917,True
Drivetrain_RWD,-0.019018158610956924,0.019018158610956924,True
