Feature,VIF,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change,Lasso Coefficient,Absolute Lasso Coefficient,Selected
Power_BHP,18.566755876146487,0.3298520299319198,0.3276855387949119,0.3298520299319198,0.3276855387949119,0.0021664911370078,0.3274467198094483,0.3274467198094483,True
Torque_NM,17.81296559138673,-0.1412523676140258,-0.1284798288850127,0.1412523676140258,0.1284798288850127,0.012772538729013,-0.12697339383447864,0.12697339383447864,True
Engine_CC,8.700894565578174,0.0248003078943992,0.0207149321177761,0.0248003078943992,0.0207149321177761,0.004085375776623,0.018403586624362873,0.018403586624362873,True
Power_RPM,7.862290941272457,0.0017991314809839,0.0049539375637818,0.0017991314809839,0.0049539375637818,-0.0031548060827979,0.0005864559762018179,0.0005864559762018179,True
Length,5.8289480539554726,0.224585606112878,0.2204824335015912,0.224585606112878,0.2204824335015912,0.0041031726112867,0.22181260328294092,0.22181260328294092,True
Torque_RPM_Clean,4.55937426548998,-0.0488507580840578,-0.0539466129837053,0.0488507580840578,0.0539466129837053,-0.0050958548996475,-0.04903200963357242,0.04903200963357242,True
Fuel Tank Capacity,4.530340477396939,0.01089046418905,0.0197911396525185,0.01089046418905,0.0197911396525185,-0.0089006754634685,0.017232688184281576,0.017232688184281576,True
Width,4.269517767055149,0.0202131353602388,0.0226237715047897,0.0202131353602388,0.0226237715047897,-0.0024106361445509,0.021187165238168427,0.021187165238168427,True
Height,2.9507107136533364,0.0975345742010361,0.0824710107154734,0.0975345742010361,0.0824710107154734,0.0150635634855626,0.08975791704577965,0.08975791704577965,True
Seating Capacity,2.7245247946537305,-0.0456352860232528,-0.0424654901703499,0.0456352860232528,0.0424654901703499,0.0031697958529028,-0.04380077854957486,0.04380077854957486,True
Vehicle_Age,1.2548459570934538,-0.3860217024164334,-0.384528350109946,0.3860217024164334,0.384528350109946,0.0014933523064873,-0.38647291149889285,0.38647291149889285,True
Kilometer,1.148337861773301,-0.0285110446085488,-0.0290755956878259,0.0285110446085488,0.0290755956878259,-0.0005645510792771,-0.028900376698868913,0.028900376698868913,True
