Feature,Coefficient,Absolute Coefficient
numerical__Kilometer,-0.028511044608548818,0.028511044608548818
numerical__Length,0.22458560611287803,0.22458560611287803
numerical__Width,0.020213135360238832,0.020213135360238832
numerical__Height,0.09753457420103616,0.09753457420103616
numerical__Seating Capacity,-0.045635286023252834,0.045635286023252834
numerical__Fuel Tank Capacity,0.010890464189050097,0.010890464189050097
numerical__Vehicle Age,-0.38602170241643347,0.38602170241643347
numerical__Engine_CC,0.024800307894399208,0.024800307894399208
numerical__Power_BHP,0.32985202993191987,0.32985202993191987
numerical__Power_RPM,0.0017991314809839513,0.0017991314809839513
numerical__Torque_NM,-0.14125236761402582,0.14125236761402582
numerical__Torque_RPM_Clean,-0.04885075808405785,0.04885075808405785
numerical__missingindicator_Length,0.00022101095974176122,0.00022101095974176122
numerical__missingindicator_Width,0.00022101095974176122,0.00022101095974176122
numerical__missingindicator_Height,0.00022101095974176122,0.00022101095974176122
numerical__missingindicator_Seating Capacity,0.00022101095974176122,0.00022101095974176122
numerical__missingindicator_Fuel Tank Capacity,-0.0034679068643128077,0.0034679068643128077
numerical__missingindicator_Engine_CC,0.006283656660900359,0.006283656660900359
numerical__missingindicator_Power_BHP,0.006283656660900359,0.006283656660900359
numerical__missingindicator_Power_RPM,-0.012603606171201077,0.012603606171201077
numerical__missingindicator_Torque_NM,0.006283656660900359,0.006283656660900359
numerical__missingindicator_Torque_RPM_Clean,0.006283656660900359,0.006283656660900359
categorical__Make_BMW,0.01787196533523141,0.01787196533523141
categorical__Make_Chevrolet,-0.8855135548729908,0.8855135548729908
categorical__Make_Datsun,-0.9942484233889487,0.9942484233889487
categorical__Make_Ford,-0.5744519209700933,0.5744519209700933
categorical__Make_Honda,-0.6143623004040638,0.6143623004040638
categorical__Make_Hyundai,-0.555167544029624,0.555167544029624
categorical__Make_Jaguar,0.2085424480709353,0.2085424480709353
categorical__Make_Jeep,-0.480792549069217,0.480792549069217
categorical__Make_Kia,-0.5094232639178907,0.5094232639178907
categorical__Make_Land Rover,0.42293154541153133,0.42293154541153133
categorical__Make_MG,-0.7049493092647064,0.7049493092647064
categorical__Make_MINI,0.5092254472854469,0.5092254472854469
categorical__Make_Mahindra,-0.6399199473481096,0.6399199473481096
categorical__Make_Maruti Suzuki,-0.6316670320958914,0.6316670320958914
categorical__Make_Mercedes-Benz,0.0795944152661948,0.0795944152661948
categorical__Make_Nissan,-0.8088778969425697,0.8088778969425697
categorical__Make_Porsche,0.4055134260767021,0.4055134260767021
categorical__Make_Renault,-0.801004981775245,0.801004981775245
categorical__Make_Skoda,-0.5337037703215703,0.5337037703215703
categorical__Make_Tata,-0.8225513713854032,0.8225513713854032
categorical__Make_Toyota,-0.3665896849583075,0.3665896849583075
categorical__Make_Volkswagen,-0.6159173688896646,0.6159173688896646
categorical__Make_Volvo,-0.007971786286925865,0.007971786286925865
categorical__Make_infrequent_sklearn,-0.13969494760299747,0.13969494760299747
categorical__Model_5-Series 520d Luxury Line [2017-2019],0.08389740756977483,0.08389740756977483
categorical__Model_A6 2.0 TDI Premium,-0.2387319961051015,0.2387319961051015
categorical__Model_A6 35 TDI Matrix,-0.0692012382670924,0.0692012382670924
categorical__Model_Alto 800 Lxi,-0.030764595137110193,0.030764595137110193
categorical__Model_Alto VXi,0.009756040915063066,0.009756040915063066
categorical__Model_Baleno Delta 1.2,-0.04685901634812155,0.04685901634812155
categorical__Model_Baleno Zeta 1.2,0.047948846298888306,0.047948846298888306
categorical__Model_Celerio VXi AMT,-0.005496721667570228,0.005496721667570228
categorical__Model_City 1.5 S MT,-0.07984353551445111,0.07984353551445111
