Feature,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change
Make_Datsun,-0.9942484233889488,-0.8259508719550319,0.9942484233889488,0.8259508719550319,0.1682975514339169
Make_Chevrolet,-0.8855135548729908,-0.7219585528185921,0.8855135548729908,0.7219585528185921,0.16355500205439866
Make_Nissan,-0.8088778969425697,-0.6775165835431468,0.8088778969425697,0.6775165835431468,0.13136131339942292
Make_MG,-0.7049493092647064,-0.5795326164833928,0.7049493092647064,0.5795326164833928,0.12541669278131362
Make_Renault,-0.801004981775245,-0.6851343989904989,0.801004981775245,0.6851343989904989,0.11587058278474616
Make_Tata,-0.8225513713854032,-0.7120918640725759,0.8225513713854032,0.7120918640725759,0.11045950731282739
Make_Kia,-0.5094232639178907,-0.4014258860478112,0.5094232639178907,0.4014258860478112,0.10799737787007951
Color_infrequent_sklearn,0.2382617896968635,0.13280316998029404,0.2382617896968635,0.13280316998029404,0.10545861971656947
Owner_infrequent_sklearn,-0.6517700104786432,-0.5514152895557227,0.6517700104786432,0.5514152895557227,0.10035472092292053
Color_Orange,0.186562424097606,0.08660185601415435,0.186562424097606,0.08660185601415435,0.09996056808345166
Make_Maruti Suzuki,-0.6316670320958914,-0.5328671579555244,0.6316670320958914,0.5328671579555244,0.09879987414036695
Make_Mahindra,-0.6399199473481096,-0.5418245826209286,0.6399199473481096,0.5418245826209286,0.09809536472718106
Make_Honda,-0.6143623004040638,-0.5170407335731056,0.6143623004040638,0.5170407335731056,0.09732156683095816
Make_Toyota,-0.3665896849583075,-0.2722834225511875,0.3665896849583075,0.2722834225511875,0.09430626240712003
Fuel Type_Electric,0.163315878828822,0.06999486155521875,0.163315878828822,0.06999486155521875,0.09332101727360326
Color_Bronze,0.1041912419595538,0.012723996198273446,0.1041912419595538,0.012723996198273446,0.09146724576128036
Make_Hyundai,-0.555167544029624,-0.4647279534278143,0.555167544029624,0.4647279534278143,0.09043959060180967
Make_Ford,-0.5744519209700933,-0.4845693140542136,0.5744519209700933,0.4845693140542136,0.08988260691587974
Color_Brown,0.140074189840237,0.05043749983684328,0.140074189840237,0.05043749983684328,0.08963669000339372
Make_Jeep,-0.480792549069217,-0.3914668934291178,0.480792549069217,0.3914668934291178,0.0893256556400992
Color_Maroon,0.1253555695537822,0.03640075589414297,0.1253555695537822,0.03640075589414297,0.08895481365963923
Color_Grey,0.1467561263183316,0.057882856154858275,0.1467561263183316,0.057882856154858275,0.08887327016347332
Color_Others,0.1098576312232708,0.021359859585853715,0.1098576312232708,0.021359859585853715,0.0884977716374171
Color_Gold,0.1553395463805603,0.0679207462484884,0.1553395463805603,0.0679207462484884,0.0874188001320719
Color_Black,0.1320250048902998,0.044857751734184576,0.1320250048902998,0.044857751734184576,0.08716725315611523
Color_Red,0.1399864033816618,0.053312929659135005,0.1399864033816618,0.053312929659135005,0.08667347372252679
Color_Silver,0.0921277546254489,0.006895601482761766,0.0921277546254489,0.006895601482761766,0.08523215314268713
Color_White,0.1402262277014314,0.05571210698818054,0.1402262277014314,0.05571210698818054,0.08451412071325085
Make_Volkswagen,-0.6159173688896646,-0.532029937499473,0.6159173688896646,0.532029937499473,0.08388743139019161
Color_Blue,0.1391520687780913,0.059686121536141175,0.1391520687780913,0.059686121536141175,0.07946594724195014
Make_Skoda,-0.5337037703215703,-0.45752053369314905,0.5337037703215703,0.45752053369314905,0.0761832366284213
Color_Green,0.1313308145384506,0.056012026019591335,0.1313308145384506,0.056012026019591335,0.07531878851885927
Location_Navi Mumbai,0.1236261988806165,0.04845835087729298,0.1236261988806165,0.04845835087729298,0.07516784800332352
Make_infrequent_sklearn,-0.1396949476029974,-0.06652959399769193,0.1396949476029974,0.06652959399769193,0.07316535360530546
Location_Indore,0.1897648012442082,0.11942085023790873,0.1897648012442082,0.11942085023790873,0.07034395100629946
Model_A6 2.0 TDI Premium,-0.2387319961051015,-0.1715489815243384,0.2387319961051015,0.1715489815243384,0.06718301458076312
Location_Mangalore,0.1687981370295597,0.10630477206292342,0.1687981370295597,0.10630477206292342,0.06249336496663628
Model_Fortuner 2.8 4x4 AT [2016-2020],0.31750495747251,0.25531838562693104,0.31750495747251,0.25531838562693104,0.062186571845578964
Location_Karnal,0.1291022093326994,0.0686806458480204,0.1291022093326994,0.0686806458480204,0.06042156348467899
Location_Jaipur,0.1034378866646825,0.0443692400684022,0.1034378866646825,0.0443692400684022,0.0590686465962803
Location_Dehradun,0.1698567301644851,0.11124063950068136,0.1698567301644851,0.11124063950068136,0.058616090663803744
Fuel Type_infrequent_sklearn,0.3296657376934114,0.2715834451729415,0.3296657376934114,0.2715834451729415,0.058082292520469925
Location_Guwahati,0.119970139500128,0.06190616022441054,0.119970139500128,0.06190616022441054,0.05806397927571746
Location_Ludhiana,0.0903433428030547,0.03312752623104004,0.0903433428030547,0.03312752623104004,0.05721581657201466
Location_Coimbatore,0.2701275035737754,0.21506476214336823,0.2701275035737754,0.21506476214336823,0.05506274143040718
Location_Raipur,0.0681356277584506,0.01336330453340381,0.0681356277584506,0.01336330453340381,0.054772323225046785
Location_Lucknow,0.0646764707363927,0.009976360892286578,0.0646764707363927,0.009976360892286578,0.054700109844106115
Location_Hyderabad,0.1886703282503447,0.1345563480253077,0.1886703282503447,0.1345563480253077,0.054113980225036995
Location_Mumbai,0.1027877602883561,0.04875606396632618,0.1027877602883561,0.04875606396632618,0.054031696322029914
Location_Jalandhar,0.0611116601932856,0.0070844725242235704,0.0611116601932856,0.0070844725242235704,0.05402718766906203
Location_Udupi,0.1753759810962319,0.12203934440487853,0.1753759810962319,0.12203934440487853,0.05333663669135337
Location_Meerut,0.0960299350913381,0.042855912629287,0.0960299350913381,0.042855912629287,0.0531740224620511
Location_Pune,0.1740508215523979,0.12091882417449877,0.1740508215523979,0.12091882417449877,0.05313199737789913
