Alpha,Mean Train Log RMSE,Mean Validation Log RMSE,Validation RMSE Standard Deviation,Rank
0.001,0.22485214248653057,0.27637157268584767,0.025164015090490755,5
0.01,0.2248581607422791,0.2760001184078876,0.025321017651673796,4
0.1,0.22494598179567812,0.2758332990712759,0.025784988187401357,3
0.5,0.22590983295157058,0.27520562209374394,0.025755675590647776,1
1.0,0.2276687393811619,0.27557258334985546,0.025317661717609054,2
2.0,0.23128172573559175,0.276901196364014,0.02473916820627008,6
5.0,0.23975775651092893,0.28056033157662386,0.024054457822619574,7
10.0,0.24890715376842829,0.2847425300694967,0.02388006537041866,8
50.0,0.27581931078502603,0.30050241656258814,0.025517547687071488,9
100.0,0.28889730155616433,0.31050924362575444,0.02792728762358518,10
500.0,0.33590239922172677,0.3555069713313975,0.035058474306847644,11
1000.0,0.3784338558992336,0.39487541660841385,0.029064063558227635,12
