Feature,Linear Coefficient SD,Ridge Coefficient SD,Stability Improvement
Model_V40 D3 R-Design,0.13814212092029848,0.060754248976961064,0.07738787194333742
Model_Kwid 1.0 RXT [2016-2019],0.10352493272835675,0.03401353021996018,0.06951140250839657
Model_Vitara Brezza VDi (O) [2016-2018],0.10189739790157569,0.03289902547725143,0.06899837242432426
Color_Yellow,0.2053410719120111,0.13871872918060862,0.06662234273140247
Model_Q3 35 TDI Premium + Sunroof,0.10634929945228987,0.04167200386749785,0.06467729558479202
Model_Wagon R VXI,0.08566035475267048,0.022528954494222354,0.06313140025844813
Model_City V,0.08304400484968297,0.020015473633270248,0.06302853121641272
Model_infrequent_sklearn,0.07305464905905558,0.010739706239511794,0.062314942819543785
Model_Vitara Brezza ZDi,0.09131879093850645,0.029064218928662223,0.06225457200984423
Model_Verna 1.6 CRDI SX,0.08663316054040307,0.024641272791441855,0.061991887748961215
Model_Alto VXi,0.07216873069485713,0.010288234087544854,0.06188049660731228
Model_Kwid RXT [2015-2019],0.1062782756841387,0.0450929699492386,0.061185305734900094
Model_GLE 300d 4MATIC LWB,0.09445158748686552,0.03351126217404,0.060940325312825526
Model_Fortuner 2.8 4x4 AT [2016-2020],0.08963808323809504,0.029019575465255677,0.060618507772839364
Model_Creta 1.6 SX Plus AT Petrol,0.06845635861074416,0.00835032449761001,0.06010603411313415
Model_Innova 2.8 ZX AT 7 STR [2016-2020],0.10298548985959569,0.04357908919335069,0.059406400666244995
Model_Swift VXi [2014-2017],0.08222475750236868,0.023240043639301065,0.05898471386306762
Model_i10 Magna 1.2 Kappa2,0.08076233785196248,0.022287993275845634,0.058474344576116846
Model_GLA 200 d Sport,0.07988964594366632,0.022105370694304308,0.05778427524936201
Color_Gold,0.07482601346907011,0.018251449172790007,0.056574564296280105
Model_Swift VXi,0.07342712772100472,0.016939488939747407,0.056487638781257316
Model_Creta SX 1.6 AT Petrol,0.07992399205556301,0.02454563623497554,0.05537835582058747
Model_Swift DZire VDI,0.07514473532548022,0.02051295232952328,0.05463178299595693
Model_Swift DZire VXI,0.07721053121988307,0.023376786319699375,0.053833744900183694
Model_E-Class E 220d Exclusive [2019-2019],0.08950752096282294,0.03682817648853134,0.0526793444742916
Color_Silver,0.07893250987502616,0.02663917853398881,0.05229333134103735
Color_White,0.07092641765287278,0.018879653273712053,0.052046764379160726
Color_Orange,0.06277545787196911,0.010895732154077289,0.051879725717891824
Color_Blue,0.07082352550973739,0.019091877787174,0.05173164772256339
Model_Wagon R LXI CNG (O),0.0936197211333289,0.042081502806181635,0.05153821832714727
Model_A6 2.0 TDI Premium,0.078518587787683,0.027877026684233974,0.05064156110344903
Color_Brown,0.07408676341110965,0.02439799828354059,0.049688765127569055
Color_Bronze,0.08168983827045127,0.032595833189564015,0.04909400508088726
Model_Celerio VXi AMT,0.06501807765012392,0.016084163381637352,0.04893391426848657
Model_Fortuner 3.0 4x2 AT,0.08626981382289006,0.03790591046973797,0.04836390335315209
Color_Grey,0.06978500782949845,0.021542177384157608,0.04824283044534085
Model_Verna Fluidic 1.6 CRDi SX,0.06052220255962019,0.012547474966535214,0.04797472759308497
Model_Grand i10 Magna 1.2 Kappa VTVT [2013-2016],0.07219033679592914,0.024942372780220528,0.047247964015708604
Color_Black,0.08326557655141424,0.03788648185137714,0.0453790947000371
Model_Fortuner 2.8 4x2 AT [2016-2020],0.06589065799157073,0.021023770796181528,0.044866887195389206
Model_City 1.5 S MT,0.0613266406077219,0.017315474702070233,0.04401116590565167
Model_GLC 220 d Progressive,0.08901644692016128,0.04513979340636503,0.04387665351379625
Color_Red,0.06280058511112986,0.02024802035497333,0.04255256475615653
Model_Fortuner 3.0 4x4 MT,0.07706834247660155,0.03480242348584034,0.04226591899076121
Model_X1 sDrive20d xLine,0.06686028474212878,0.026564195402578813,0.040296089339549965
Color_infrequent_sklearn,0.09878016925424356,0.058676066004986996,0.04010410324925656
Color_Others,0.06201559189393862,0.026973638665510242,0.035041953228428374
Model_Alto 800 Lxi,0.061119336368913334,0.027311647207905403,0.03380768916100793
Model_Baleno Delta 1.2,0.07037892031885895,0.037256295075879124,0.033122625242979827
Color_Green,0.05660820478628579,0.026479383101365366,0.030128821684920423
Model_5-Series 520d Luxury Line [2017-2019],0.052877737301376834,0.023241485615778858,0.029636251685597977
Color_Maroon,0.07812479414113162,0.050033923011881275,0.028090871129250343
Model_A6 35 TDI Matrix,0.047033539808428594,0.02014056058112735,0.026892979227301245
Fuel Type_Electric,0.13635556489316497,0.11373580811649525,0.02261975677666972
Model_Swift VDi,0.04833256631138138,0.02595380924722752,0.02237875706415386
Model_Baleno Zeta 1.2,0.045288665223662344,0.023383656360113695,0.02190500886354865
Model_GLE 250 d,0.046432307579003185,0.02626852728033129,0.020163780298671895
Location_Nashik,0.09013200943835674,0.07182374504151427,0.018308264396842466
Location_Karnal,0.06337074189164318,0.046573849694398234,0.01679689219724495
Seller Type_Individual,0.05386105561040461,0.03709150530019846,0.016769550310206147
Seller Type_Corporate,0.07090594577761097,0.05600983194331331,0.014896113834297661
Model_Wagon R LXi,0.07077625927003671,0.05752583553395494,0.01325042373608177
Model_Scorpio S10,0.06255909741863751,0.04973861175555828,0.01282048566307923
Location_Noida,0.026183081062020094,0.01462660962680184,0.011556471435218254
Location_Ranchi,0.026248784332946192,0.014863746542484827,0.011385037790461365
Location_Thane,0.04146947299837471,0.030091912712429097,0.011377560285945613
Make_Volvo,0.06533786253974534,0.0541712727565014,0.01116658978324394
Location_Bangalore,0.031130113430511957,0.020539309588178692,0.010590803842333265
Location_Mangalore,0.07232918425998357,0.06224657472461574,0.010082609535367826
Location_Jalandhar,0.042231600967492705,0.03227329000427046,0.009958310963222243
Make_Porsche,0.21319965651346817,0.20325959146046182,0.009940065053006347
Location_Bhopal,0.07261569697662956,0.0630515256708806,0.009564171305748964
Location_Surat,0.054767838512265465,0.04596682617630652,0.008801012335958945
Location_Guwahati,0.030199677475591997,0.021768396624838652,0.008431280850753346
Location_Faridabad,0.018278479822508888,0.009881887388080737,0.008396592434428151
Make_Jeep,0.035355925558708944,0.026968487149697365,0.008387438409011579
Location_Coimbatore,0.021811969641491756,0.013831852909763423,0.007980116731728333
Make_Land Rover,0.03652716197144081,0.028559847878164832,0.00796731409327598
Make_Kia,0.043880213909788225,0.035965130228414945,0.00791508368137328
Location_Hyderabad,0.02437412971307286,0.017118670314510146,0.007255459398562713
Location_Mohali,0.04311404240818656,0.036194017103381194,0.006920025304805365
Make_Mahindra,0.04102254835546652,0.03429047225677493,0.006732076098691593
Location_Jaipur,0.023701875845469365,0.01699072148321156,0.006711154362257804
Location_Ambala Cantt,0.03780598000361593,0.031128079771946874,0.006677900231669056
Location_Pune,0.01867782784987457,0.012348918272931747,0.006328909576942824
Location_Ludhiana,0.020614780277203832,0.014481805983992931,0.006132974293210901
Owner_infrequent_sklearn,0.0727445776037764,0.06661901655369779,0.0061255610500786095
Location_Delhi,0.0120643224212598,0.00610480489444509,0.00595951752681471
Location_Kolkata,0.013959518709750787,0.008294696926592057,0.005664821783158729
Model_i20 Magna 1.2,0.08343424326836207,0.07789576168142545,0.005538481586936622
Make_Hyundai,0.02139667385178219,0.01601916675126774,0.005377507100514451
Location_Mumbai,0.01466636720544563,0.009617105387367342,0.0050492618180782885
Location_Raipur,0.0179554281081313,0.012918120072854403,0.0050373080352768985
Location_Meerut,0.016528019977412527,0.011510977472765247,0.00501704250464728
Make_Toyota,0.012495831583173495,0.007548543143296765,0.00494728843987673
Fuel Type_Diesel,0.05584142851566836,0.05091065225659142,0.004930776259076938
Make_Renault,0.026197467466432787,0.02144615592539295,0.004751311541039836
Location_Patna,0.02349071427381565,0.019047557876676304,0.004443156397139346
Location_Ahmedabad,0.020934990141314086,0.01686688671671329,0.0040681034246007955
Make_Jaguar,0.10078922421581724,0.09678619396172031,0.004003030254096929
Make_Ford,0.03261317665087563,0.028961049573550605,0.0036521270773250264
Make_Maruti Suzuki,0.03272519253168628,0.02929555736990519,0.003429635161781089
Make_Volkswagen,0.031222979917971995,0.028132549819239898,0.003090430098732097
Location_Gurgaon,0.023932583618333333,0.021317239243162586,0.0026153443751707472
Make_BMW,0.017856358613428346,0.01530170458703904,0.0025546540263893056
Fuel Type_infrequent_sklearn,0.056728505317530896,0.05428725346579934,0.0024412518517315587
Fuel Type_Petrol,0.032993266153103794,0.030561383983999265,0.002431882169104529
Owner_UnRegistered Car,0.05233446672102369,0.04997207223211792,0.002362394488905767
Make_infrequent_sklearn,0.08671883184014563,0.08450249412106459,0.0022163377190810435
Location_Jamshedpur,0.04043092690418328,0.038449694392325685,0.0019812325118575974
Location_Lucknow,0.027696467571269343,0.025868553974540884,0.0018279135967284588
Power_BHP,0.024801723482285213,0.023126028221472812,0.0016756952608124008
Make_Mercedes-Benz,0.025200871815134286,0.02361944239482529,0.0015814294203089947
Location_Indore,0.04644172987932567,0.04486120822090723,0.0015805216584184392
Make_Tata,0.0164752462578836,0.01494204461043714,0.001533201647446459
Power_RPM,0.030207045781554445,0.028770635621564636,0.0014364101599898087
Engine_CC,0.014795054093229428,0.013368972383550747,0.0014260817096786813
Make_MINI,0.2178689984270258,0.2165693285644755,0.0012996698625503122
Transmission_Manual,0.014514131575906012,0.01326507739169176,0.001249054184214251
Owner_Third,0.02882061210177415,0.027601932213006712,0.0012186798887674384
Length,0.020717221392951218,0.019547397411985103,0.0011698239809661143
Make_Datsun,0.05258675933842389,0.051441647078674255,0.0011451122597496352
Torque_NM,0.015708508252938236,0.014769073042108725,0.0009394352108295107
Drivetrain_Missing,0.04822835439039205,0.04730639226641963,0.000921962123972421
Owner_Second,0.009890053776380033,0.00898889388592592,0.0009011598904541118
Location_Chennai,0.013489679232860138,0.012741216136667732,0.000748463096192406
Vehicle_Age,0.006221964475896345,0.005647326444113553,0.0005746380317827923
Fuel Tank Capacity,0.0094369525158171,0.008936165989707848,0.0005007865261092512
Width,0.01140660252984527,0.011002387700952292,0.0004042148288929785
missingindicator_Power_RPM,0.05324102032600907,0.052864677018818605,0.0003763433071904618
Kilometer,0.03139830915482026,0.03113050909421763,0.00026780006060262915
missingindicator_Width,0.0032742870991742763,0.0030285502853637306,0.00024573681381054573
missingindicator_Length,0.0032742870991742763,0.0030285502853637306,0.00024573681381054573
missingindicator_Seating Capacity,0.0032742870991742763,0.0030285502853637306,0.00024573681381054573
