Feature,Ridge Coefficient,Absolute Ridge Coefficient
cat__Make_Datsun,-0.8259508719550319,0.8259508719550319
cat__Make_Chevrolet,-0.7219585528185921,0.7219585528185921
cat__Make_Tata,-0.7120918640725759,0.7120918640725759
cat__Make_Renault,-0.6851343989904989,0.6851343989904989
cat__Make_Nissan,-0.6775165835431468,0.6775165835431468
cat__Make_MG,-0.5795326164833928,0.5795326164833928
cat__Owner_infrequent_sklearn,-0.5514152895557227,0.5514152895557227
cat__Make_Mahindra,-0.5418245826209286,0.5418245826209286
cat__Make_Maruti Suzuki,-0.5328671579555244,0.5328671579555244
cat__Make_Volkswagen,-0.532029937499473,0.532029937499473
cat__Make_Honda,-0.5170407335731056,0.5170407335731056
cat__Make_MINI,0.506719402400813,0.506719402400813
cat__Make_Ford,-0.4845693140542136,0.4845693140542136
cat__Make_Hyundai,-0.4647279534278143,0.4647279534278143
cat__Make_Skoda,-0.45752053369314905,0.45752053369314905
cat__Make_Land Rover,0.4516869339506543,0.4516869339506543
cat__Make_Porsche,0.42462792697485874,0.42462792697485874
cat__Make_Kia,-0.4014258860478112,0.4014258860478112
cat__Make_Jeep,-0.3914668934291178,0.3914668934291178
num__Vehicle_Age,-0.384528350109946,0.384528350109946
num__Power_BHP,0.32768553879491197,0.32768553879491197
cat__Make_Toyota,-0.2722834225511875,0.2722834225511875
cat__Fuel Type_infrequent_sklearn,0.2715834451729415,0.2715834451729415
cat__Model_Fortuner 2.8 4x4 AT [2016-2020],0.25531838562693104,0.25531838562693104
cat__Make_Jaguar,0.23784660181492884,0.23784660181492884
cat__Model_i20 Magna 1.2,-0.23392674769207483,0.23392674769207483
num__Length,0.22048243350159125,0.22048243350159125
cat__Location_Coimbatore,0.21506476214336823,0.21506476214336823
cat__Model_Verna Fluidic 1.6 CRDi SX,-0.21316821571567257,0.21316821571567257
cat__Location_Chennai,0.21183769551983567,0.21183769551983567
cat__Location_Bangalore,0.19158844895454477,0.19158844895454477
cat__Model_Fortuner 2.8 4x2 AT [2016-2020],0.18747834326890525,0.18747834326890525
cat__Transmission_Manual,-0.18252135993590943,0.18252135993590943
cat__Model_Fortuner 3.0 4x4 MT,0.17628593603515588,0.17628593603515588
cat__Model_A6 2.0 TDI Premium,-0.1715489815243384,0.1715489815243384
cat__Model_Verna 1.6 CRDI SX,-0.16792878758360738,0.16792878758360738
cat__Model_Scorpio S10,0.16388087036063867,0.16388087036063867
cat__Location_Ambala Cantt,-0.1575805495654953,0.1575805495654953
cat__Location_Kolkata,-0.15494139798255444,0.15494139798255444
cat__Model_City 1.5 V AT,-0.15400703104732855,0.15400703104732855
cat__Model_GLC 220 d Progressive,0.15215665318366756,0.15215665318366756
cat__Model_Innova 2.8 ZX AT 7 STR [2016-2020],-0.1486894495494933,0.1486894495494933
cat__Location_Hyderabad,0.1345563480253077,0.1345563480253077
cat__Color_infrequent_sklearn,0.13280316998029404,0.13280316998029404
cat__Model_X1 sDrive20d xLine,-0.12862645552911947,0.12862645552911947
num__Torque_NM,-0.12847982888501275,0.12847982888501275
cat__Location_Udupi,0.12203934440487853,0.12203934440487853
cat__Model_Wagon R LXi,0.12177050462941993,0.12177050462941993
cat__Make_Mercedes-Benz,0.12124594287072532,0.12124594287072532
cat__Location_Pune,0.12091882417449877,0.12091882417449877
cat__Location_Indore,0.11942085023790873,0.11942085023790873
cat__Model_Vitara Brezza ZDi,0.11411794242466067,0.11411794242466067
cat__Model_E-Class E 220d Exclusive [2019-2019],0.1113088803512481,0.1113088803512481
cat__Location_Dehradun,0.11124063950068136,0.11124063950068136
cat__Location_Mangalore,0.10630477206292342,0.10630477206292342
cat__Location_Ranchi,-0.10464146250391732,0.10464146250391732
cat__Model_Swift DZire VXI,0.1042651713764536,0.1042651713764536
cat__Model_Q3 35 TDI Premium + Sunroof,-0.10306671903518606,0.10306671903518606
cat__Model_i10 Magna 1.2 Kappa2,0.09787904982826294,0.09787904982826294
cat__Seller Type_Corporate,0.09573296763323083,0.09573296763323083
cat__Location_Kanpur,-0.09314344439470741,0.09314344439470741
cat__Owner_UnRegistered Car,0.0907605494385312,0.0907605494385312
cat__Model_5-Series 520d Luxury Line [2017-2019],0.08903326496906994,0.08903326496906994
cat__Color_Orange,0.08660185601415435,0.08660185601415435
cat__Model_Swift VXi,0.08638023777472298,0.08638023777472298
cat__Model_Swift VDi,0.08565243116730893,0.08565243116730893
cat__Model_Kwid 1.0 RXT [2016-2019],-0.08564470354672139,0.08564470354672139
num__Height,0.08247101071547341,0.08247101071547341
cat__Fuel Type_Petrol,-0.08003688225450963,0.08003688225450963
