Feature,VIF,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change
Power_BHP,18.566755876146487,0.3298520299319198,0.32768553879491197,0.3298520299319198,0.32768553879491197,0.002166491137007842
Torque_NM,17.81296559138673,-0.1412523676140258,-0.12847982888501275,0.1412523676140258,0.12847982888501275,0.012772538729013044
Engine_CC,8.700894565578174,0.0248003078943992,0.020714932117776117,0.0248003078943992,0.020714932117776117,0.004085375776623084
Power_RPM,7.862290941272457,0.0017991314809839,0.004953937563781871,0.0017991314809839,0.004953937563781871,-0.003154806082797971
Length,5.8289480539554726,0.224585606112878,0.22048243350159125,0.224585606112878,0.22048243350159125,0.0041031726112867595
Torque_RPM_Clean,4.55937426548998,-0.0488507580840578,-0.05394661298370536,0.0488507580840578,0.05394661298370536,-0.005095854899647555
Fuel Tank Capacity,4.530340477396939,0.01089046418905,0.019791139652518556,0.01089046418905,0.019791139652518556,-0.008900675463468555
Width,4.269517767055149,0.0202131353602388,0.022623771504789756,0.0202131353602388,0.022623771504789756,-0.0024106361445509553
Height,2.9507107136533364,0.0975345742010361,0.08247101071547341,0.0975345742010361,0.08247101071547341,0.01506356348556269
Seating Capacity,2.7245247946537305,-0.0456352860232528,-0.04246549017034991,0.0456352860232528,0.04246549017034991,0.0031697958529028902
Vehicle_Age,1.2548459570934538,-0.3860217024164334,-0.384528350109946,0.3860217024164334,0.384528350109946,0.0014933523064873944
Kilometer,1.148337861773301,-0.0285110446085488,-0.02907559568782599,0.0285110446085488,0.02907559568782599,-0.0005645510792771889
